"(PDH-CSV 4.0) (","\\MYPC\PhysicalDisk(4 H:)\Disk Read Bytes/sec","\\MYPC\PhysicalDisk(4 H:)\Disk Write Bytes/sec"
"04/15/2022 10:41:37.144"," "," "
"04/15/2022 10:41:38.185","0","216069186.04617643356"
"04/15/2022 10:41:39.228","7852.9255934341417742","214604750.61736822128"
"04/15/2022 10:41:40.257","0","87933501.738727852702"
"04/15/2022 10:41:41.374","0","0"
"04/15/2022 10:41:42.490","0","0"
"04/15/2022 10:41:43.611","0","0"
"04/15/2022 10:41:44.743","0","10855.952256426638996"
"04/15/2022 10:41:45.879","0","0"
"04/15/2022 10:41:47.003","0","169767601.23612955213"
"04/15/2022 10:41:48.048","7846.4216217955818138","215933523.03181442618"
"04/15/2022 10:41:49.089","0","220428043.15832436085"
"04/15/2022 10:41:50.135","0","100020608.83946532011"
"04/15/2022 10:41:51.221","0","0"
"04/15/2022 10:41:52.280","0","0"
"04/15/2022 10:41:53.353","0","0"
"04/15/2022 10:41:54.432","0","11389.008605708406321"
"04/15/2022 10:41:55.489","0","0"
"04/15/2022 10:41:56.563","7631.3079625879590822","149939938.84892821312"
"04/15/2022 10:41:57.595","0","214319452.21673616767"
"04/15/2022 10:41:58.623","0","217313711.66231545806"
"04/15/2022 10:41:59.647","0","141640887.74064075947"
"04/15/2022 10:42:00.690","0","0"
"04/15/2022 10:42:01.713","0","0"
"04/15/2022 10:42:02.740","0","0"
"04/15/2022 10:42:03.765","0","3995.4777746671493333"
"04/15/2022 10:42:04.801","0","11862.176338665134608"
"04/15/2022 10:42:05.831","0","0"
"04/15/2022 10:42:06.857","0","0"
"04/15/2022 10:42:07.897","7878.050244111849679","0"
"04/15/2022 10:42:08.924","0","0"
"04/15/2022 10:42:09.965","0","0"
"04/15/2022 10:42:10.990","0","0"
"04/15/2022 10:42:12.020","0","0"
"04/15/2022 10:42:13.041","0","0"
"04/15/2022 10:42:14.071","0","0"
"04/15/2022 10:42:15.085","0","0"
"04/15/2022 10:42:16.113","0","0"
"04/15/2022 10:42:17.155","0","0"
"04/15/2022 10:42:18.178","0","0"
"04/15/2022 10:42:19.206","0","0"
"04/15/2022 10:42:20.233","0","0"
"04/15/2022 10:42:21.262","0","0"
"04/15/2022 10:42:22.294","0","0"
"04/15/2022 10:42:23.306","0","0"
"04/15/2022 10:42:24.334","0","0"
"04/15/2022 10:42:25.360","0","0"
"04/15/2022 10:42:26.390","0","0"
"04/15/2022 10:42:27.416","0","0"
"04/15/2022 10:42:28.445","0","0"
"04/15/2022 10:42:29.461","0","0"
"04/15/2022 10:42:30.501","0","0"
"04/15/2022 10:42:31.536","0","0"
"04/15/2022 10:42:32.576","0","0"
"04/15/2022 10:42:33.614","0","0"
"04/15/2022 10:42:34.638","0","0"
"04/15/2022 10:42:35.667","0","0"
"04/15/2022 10:42:36.727","0","0"
"04/15/2022 10:42:37.767","0","0"
"04/15/2022 10:42:38.805","0","0"
